first_name,last_name,customer_id,transaction_id,transaction_datetime,amount,vendor,transaction_type,next_transaction_date,likelihood_prediction
Robin,Hernandez,00257d3a-5884-42c4-bcf0-547c8bbf8610,681012f5-1bab-45df-870c-c1326c086c7e,2024-01-08,453.65,Costco,Debit,2024-01-16,8.0
Robin,Hernandez,00257d3a-5884-42c4-bcf0-547c8bbf8610,ee341ac8-f8ce-4bcf-9806-d9b2efac2c0c,2024-01-16,125.76,Costco,Debit,2024-01-26,10.0
Robin,Hernandez,00257d3a-5884-42c4-bcf0-547c8bbf8610,0247c07f-17c6-4d04-960b-16b5586103db,2024-01-26,228.95,Costco,Debit,2024-02-10,15.0
Robin,Hernandez,00257d3a-5884-42c4-bcf0-547c8bbf8610,50dbe75f-02d2-4eb1-a155-aaf093664b33,2024-02-10,361.51,Costco,Debit,2024-02-24,14.0
Robin,Hernandez,00257d3a-5884-42c4-bcf0-547c8bbf8610,447f7103-5294-43f2-81f3-e3961e6bf384,2024-02-24,141.48,Costco,Credit,2024-03-06,11.0
Robin,Hernandez,00257d3a-5884-42c4-bcf0-547c8bbf8610,c57c437e-7fb9-4836-aaab-f7612b983174,2024-03-06,306.43,Costco,Debit,2024-03-13,7.0
Robin,Hernandez,00257d3a-5884-42c4-bcf0-547c8bbf8610,ee2c05b8-d0d0-41c3-ab79-3b3a863bb51a,2024-03-13,476.16,Costco,Debit,2024-03-21,8.0
Robin,Hernandez,00257d3a-5884-42c4-bcf0-547c8bbf8610,9b571a32-c1ff-4e7b-950b-466e933320ed,2024-03-21,185.93,Costco,Credit,2024-04-01,11.0
Robin,Hernandez,00257d3a-5884-42c4-bcf0-547c8bbf8610,5f2b9bfe-bcf5-4fc2-834f-579b47320982,2024-04-01,150.2,Costco,Debit,2024-04-11,10.0
Robin,Hernandez,00257d3a-5884-42c4-bcf0-547c8bbf8610,3e5ed11f-4de8-4962-be08-e70db9c3496a,2024-04-11,313.19,Costco,Credit,2024-04-24,13.0
